菜系,餐厅名称,地址,lng,lat
北京菜,同兴楼,福州路435号,121.481986,31.233629
北京菜,悦宾楼,湖北路215号,121.480302,31.233912
北京菜,会宾楼,福州路419号,121.482369,31.234044
北京菜,致美楼,福州路519号,121.480605,31.233343
天津菜,六合局,广西路福祥里隔壁,121.477614,31.233638
天津菜,三和楼,云南南路13号,121.479738,31.228803
天津菜,青萍园,云南南路305号,121.48256,31.225227
四川菜,成都川菜馆,宁海西路22号,121.472966,31.224718
四川菜,南海花园,南京西路830号,121.467247,31.231172
四川菜,蜀腴川菜馆,广西北路295号,121.477167,31.234549
四川菜,聚丰园川菜馆,广西北路234号,121.477722,31.233137
四川菜,洁而精川菜馆,兴安路135号,121.471016,31.220962
四川菜,锦江川菜馆,宁海西路31号,121.472966,31.224718
广东菜,一家春,福州路266号,121.485223,31.234628
广东菜,大三元,南京路677号,121.470773,31.232453
广东菜,大东酒楼,南京路625号,121.470708,31.232439
广东菜,杏花楼,福州路343号,121.484144,31.234114
广东菜,羊城酒家,中正东路435号,121.248141,30.775168
广东菜,金门大酒店,南京西路104号,121.472522,31.234147
广东菜,京华酒楼,福州路623号,121.478925,31.232289
广东菜,东亚又一楼,南京东路先施公司,121.477072,31.234663
广东菜,南国酒楼,云南路366号,121.482646,31.224314
广东菜,南华酒楼,南京东路715号,121.477072,31.234663
广东菜,美心酒楼,陕西南路304号,121.461798,31.207557
广东菜,美华酒楼,南京西路吴江路15号,121.463883,31.230694
广东菜,红棉酒楼,中正东路780号,121.248141,30.775168
广东菜,曾满记,武昌路442号,121.486477,31.246967
广东菜,康乐酒楼,南京西路456号,121.46815,31.231212
广东菜,万寿山,西藏中路220号,121.475371,31.232186
广东菜,新新酒楼,南京东路720号,121.477072,31.234663
广东菜,新都酒楼,南京东路新新公司,121.477072,31.234663
广东菜,新雅酒楼,南京东路719号,121.477072,31.234663
广东菜,新乐酒楼,陕西南路314号,121.46232,31.205726
广东菜,新华酒楼,广西路341号,121.477012,31.235132
广东菜,醉乐园,金陵东路376号,121.482316,31.228086
广东菜,乐园酒楼,凤阳路366号,121.469042,31.233327
广东菜,沪甯酒楼,新昌路125号,121.468952,31.233155
广东菜,岭南楼酒楼,新永安街44号,121.491312,31.230962
徽州菜,大中国菜馆,大连路469号,121.513564,31.258713
徽州菜,大有利菜馆,安福路39号,121.44732,31.214834
徽州菜,大富贵菜馆,常德路706号,121.44388,31.232218
徽州菜,大新楼菜馆,西藏中路485号,121.474491,31.235636
徽州菜,中南楼,中正南二路451号,121.391634,31.049036
徽州菜,海华楼,浙江北路270号,121.47524,31.246245
徽州菜,富贵楼,安南路820号,121.276855,31.754196
徽州菜,鼎新楼,山西北路2235号,121.478423,31.249551
宁波菜,又二屯,南京西路304号,121.47031,31.232358
宁波菜,大陆正興馆,西藏中路67号,121.478013,31.22964
宁波菜,茹长兴,长沙路93号,121.470626,31.236079
宁波菜,老同华楼,九江路364号,121.483129,31.235948
宁波菜,状元楼,天津路441号,121.478825,31.236413
宁波菜,甬江状元楼,九江路529号,121.480068,31.235024
宁波菜,集贤楼,广东路374号,121.484251,31.232643
宁波菜,复兴园,广东路374号,121.484251,31.232643
宁波菜,宁波沁社,西藏中路142号,121.477716,31.230761
上海菜,大名春楼菜馆,浙江中路394号,121.478014,31.236127
上海菜,上海老正兴,九江路566号,121.479381,31.234817
上海菜,正和馆,安庆路481号,121.475796,31.247401
上海菜,正兴菜馆,河南中路565号,121.483932,31.239984
上海菜,同华楼,九江路281号,121.484677,31.236393
上海菜,状元老正兴,福州路680号,121.478345,31.231843
上海菜,老正和菜馆,广西北路207号,121.477938,31.233011
上海菜,老正兴源记,九江路300号,121.484316,31.236306
上海菜,老正兴东记,山东中路330号,121.48409,31.236632
上海菜,老正兴馆,福州路721号,121.477335,31.231846
上海菜,梁园老正兴,广西北路332号,121.477042,31.235018
素菜,功德林斋食处,黄河路41号,121.470911,31.233874
素菜,春风松月楼,湖北路193号,121.480558,31.233647
素菜,素春楼,厦门路102号,121.476476,31.239673
素菜,聚源斋,湖北路90号,121.481441,31.232135
素菜,龙兴斋,芝罘路159号,121.474438,31.237671
素菜,觉林,林森中路254号,121.016158,30.888288
西菜,华懋饭店,南京路外滩沙逊房子内,121.483723,31.238521
西菜,都城饭店,江西路福州路角,121.482468,31.233819
西菜,沧州饭店,南京西路1225号,121.454122,31.226639
西菜,汇中饭店,南京东路3号,121.477072,31.234663
西菜,礼查饭店,中正东一路7号,121.287296,31.114386
西菜,麦瑞饭店,南京东路102号,121.477072,31.234663
西菜,国际饭店,南京西路跑马厅旁,121.455774,31.227623
西菜,沙利文饭店,南京东路107号,121.477072,31.234663
中国西菜,水上饭店,中山东一路北京东路口,121.490243,31.240637
中国西菜,一品香大旅社,西藏中路270号,121.474916,31.233072
中国西菜,一家春番菜社,福州路266号,121.485223,31.234628
中国西菜,上海西菜社,广东路150号,121.488322,31.233513
中国西菜,大西洋西菜社,福州路701号,121.477544,31.231892
中国西菜,大西洋饭店,北京西路1182号,121.452719,31.229429
中国西菜,大来饭店,南京西路1257号,121.455759,31.227014
中国西菜,中央西菜社,福州路730号,121.477097,31.23214
中国西菜,印度吖喱饭店,福州路711号,121.477444,31.231872
中国西菜,东亚酒楼,南京东路690号,121.477072,31.234663
中国西菜,晋隆西菜社,西藏中路400号,121.474982,31.235651
中国西菜,新利查番菜社,广西北路164号,121.479489,31.232254
中国西菜,荣康中西菜社,华山路1号,121.444849,31.223637
中国西菜,福来犹太咖喱鸡饭店,广西北路159号,121.479675,31.232196
